japanese;english
あおい;blue
あかい;red
きいろい;yellow
くろい;black
しろい;white
ちゃいろい;brown
ながい;long (length)
みじかい;short (length)
あたまがいい;smart
せがたかい;tall (stature)
せがひくい;short (stature)
あたま;head
かみ;hair
かお;face
め;eye
はな;nose
くち;mouth
みみ;ear
からだ;body
おなか;stomach
あし;foot
めがね;glasses
ふく;clothes
くつ;shoes
いろ;color
なにいろ;what color
あお;blue
あか;red
きいろ;yellow
くろ;black
しろ;white
ちゃいろ;brown
みどり;green
こたえ;answer
はなし;story
ネクタイ;necktie
セーター;sweater
ジーンズ;jeans
スカート;skirt
パソコン;personal computer
~かい;... times
~にち(かん);... days
~しゅうかん;... weeks
~かげつ(かん);... months
~ねん(かん);... years
いつも;always
たぶん;mayby
まだ [+negative];not yet
もう [+affirmative];already
もう [+question];yet, already
~だけ;only
もしもし;hello (in telephone)